small_idx	large_idx
0	53
1	122
2	47
3	137
4	310
5	35
6	18
7	168
8	112
9	199
10	26
11	351
12	103
13	15
14	55
15	154
16	79
17	189
18	9
19	204
20	118
21	105
22	304
23	22
24	89
25	93
26	153
27	44
28	43
29	33
30	115
31	150
32	73
33	306
34	126
35	289
36	350
37	144
38	248
39	38
40	200
41	121
42	299
43	290
44	107
45	138
46	684
47	158
48	1035
49	291
50	92
51	24
52	161
53	0
54	401
55	343
56	485
57	17
58	417
59	442
60	282
61	178
62	1263
63	46
64	395
65	705
66	113
67	333
68	406
69	308
70	54
71	363
72	238
73	594
74	515
75	40
76	798
77	1212
78	1620
79	425
80	503
81	386
82	725
83	2541
84	833
85	911
86	313
87	217
88	148
89	659
90	562
91	2237
92	119
93	838
94	713
95	2175
96	1227
97	461
98	464
99	226
100	223
101	949
102	724
103	101
104	1595
105	84
106	211
107	1652
108	500
109	435
110	243
111	420
112	355
113	242
114	539
115	58
116	41
117	1070
118	648
119	80
120	744
121	1755
122	1759
123	295
124	1746
125	1133
126	1199
127	1381
128	87
129	131
130	2845
131	203
132	657
133	258
134	247
135	236
136	2334
137	2053
138	1850
139	1826
140	1548
141	1536
142	605
143	2249
144	2322
145	581
146	393
147	2062
148	3796
149	3931
150	4572
151	2540
152	1651
153	72
154	1126
155	1052
156	899
157	861
158	712
159	686
160	572
161	241
162	419
